term,variants,meaning,category,safety_signal,safety_signal_raw,example_line,lsr,lsr_raw,confidence,source_hint,merged_from,merge_conflicts,extra_example_lines
HT,"[""high tension"", ""HT line"", ""HT cable"", ""HT panel"", ""HT overhead line"", ""11 KV"", ""33 KV"", ""11kv line"", ""LT"", ""low tension"", ""LT line"", ""415 V"", ""440 V""]","High tension (or low tension) electrical supply, lines and panels.",abbreviation,energy_cue,energy_cue,"Hydra parked under 33 KV HT line near ROW, boom raised, koi barricade nahi.",,,high,CEA Regulations 2010; common Indian usage,1,,
HWP,"[""hot work permit"", ""hot permit"", ""HW permit"", ""hot work ka permit"", ""HWP nahi tha"", ""hot work without permit"", ""hot job""]","Permit specifically for spark or flame producing work such as welding, grinding, gas cutting in a hydrocarbon area.",abbreviation,control_present,control_present,"HWP issued for grinding near test separator but gas test column blank, fire watch bhi nahi tha.",Hot Work,Hot Work,high,OISD-STD-105 work permit system,1,,
I/C,"[""IC"", ""in-charge"", ""incharge"", ""in charge"", ""shift I/C"", ""shift IC"", ""SIC"", ""rig I/C"", ""site I/C"", ""well site I/C""]","Person in charge of a shift, rig, site or section.",abbreviation,,none,"Shift I/C allowed hot work near flare pit without gas test, LEL meter charge nahi tha.",,,high,common Indian PSU usage,1,,
IM,"[""installation manager"", ""installation in-charge"", ""IIC"", ""I/C installation"", ""IM sir"", ""IM sahab""]","Statutory person in charge of an oil mine installation, who owns the permit system and emergency plan.",abbreviation,,none,"IM not present at site during BOP nipple-up, permit signed by junior only.",,,high,Oil Mines Regulations 2017,1,,
IVMS,"[""in-vehicle monitoring system"", ""VTS"", ""vehicle tracking"", ""vehicle tracking system"", ""GPS device"", ""tracker"", ""IVMS not installed"", ""IVMS nahi laga""]","In-vehicle monitoring or tracking device recording speed, harsh braking and location.",abbreviation,control_present,control_present,"Contractor tanker without IVMS entered CTF, overspeeding noticed at gate.",Driving,Driving,medium,IOGP Report 459 Driving; ONGC IVMS/VTS rollout,1,,
JMP,"[""journey management plan"", ""journey management"", ""JMP nahi tha"", ""trip plan"", ""JM"", ""night driving"", ""night movement""]","Journey management plan for road trips, covering route, timing, rest and night driving restrictions.",abbreviation,pseudo_control,pseudo_control,"Night movement of crew vehicle to well site without JMP, driver alone 6 hours continuous.",Driving,Driving,medium,IOGP Report 459 Driving; unverified as written abbreviation in OIL/ONGC reports,1,,
JSA,"[""job safety analysis"", ""JSA nahi bana"", ""JSA nahi kiya"", ""JSA nhi tha"", ""JSA sign"", ""JSA attached"", ""job hazard analysis"", ""JHA"", ""जेएसए""]","Step-by-step written breakdown of a job with hazards and precautions, usually attached to the permit.",abbreviation,pseudo_control,pseudo_control,"Rigging up of WO rig mast at well site, JSA nahi bana, crew ko koi briefing nahi di.",Work Authorisation,Work Authorisation,high,OISD-STD-105; OISD-RP-206 safety management system,1,,
ksc,"[""kg/cm2"", ""kg/sq cm"", ""kgf/cm2"", ""psi"", ""psig"", ""bar""]","Kilogram per square centimetre, the pressure unit written in Indian oil field reports along with psi.",abbreviation,energy_cue,energy_cue,"Test separator running at 12 ksc, PSV set 10 ksc but isolated, gauge nahi dikh raha.",,,high,common Indian oil & gas usage,1,,
LEL,"[""lower explosive limit"", ""LEL 0%"", ""LEL zero"", ""% LEL"", ""LEL reading"", ""gas test"", ""gas testing nahi hua"", ""explosimeter"", ""gas test nahi kiya"", ""LEL meter""]",Percentage of the lower explosive limit of flammable gas measured before hot work or entry.,abbreviation,exposure_cue,exposure_cue,"Grinding near flare KOD started, LEL reading nahi liya, permit me gas test column blank.",Hot Work,Hot Work,high,OISD-STD-105 (gas test before permit),1,,
LOTO,"[""lock out tag out"", ""lockout tagout"", ""lock out"", ""tag out"", ""LOTO nahi kiya"", ""LOTO nhi tha"", ""LOTO tag"", ""isolation"", ""isolation nahi kiya"", ""lock nahi lagaya""]",Physical locking and tagging of an energy isolation point so equipment cannot be re-energised during work.,abbreviation,control_present,control_present,"Fitter opened SRP gearbox for repair, LOTO nahi kiya, panel me sirf switch off tha.",Energy Isolation,Energy Isolation,high,OISD-STD-105; IOGP Report 459 Energy Isolation,1,,
LPG,"[""LPG cylinder"", ""gas cylinder"", ""LPG leak"", ""cylinder"", ""kitchen gas"", ""LPG hose"", ""mess me cylinder""]","LPG cylinders used in camp kitchens and mess, or for cutting.",abbreviation,energy_cue,energy_cue,"LPG cylinder in mess kitchen at well site camp, hose cracked, regulator loose.",,,high,common usage,1,,
LSR,"[""life saving rules"", ""life-saving rules"", ""LSR violation"", ""golden rules"", ""LSR card"", ""life saving rule no""]","Company life saving rules, usually adapted from IOGP, whose violation is tagged in reports.",abbreviation,statement_cue,statement_type,"LSR violation: driver on phone while driving pipe trailer inside CTF, speed bhi zyada.",,,medium,IOGP Report 459; ONGC Life Saving Rules,1,,
LTI,"[""lost time injury"", ""LTI free"", ""LTI case"", ""LWC"", ""lost workday case"", ""LTIFR"", ""LTIF"", ""reportable injury"", ""reportable"", ""reportable accident""]","Injury causing the person to miss at least one shift, reportable under mines regulations.",abbreviation,outcome_cue,outcome,"LTI free days board not updated since last month, contractor injuries count nahi hote.",,,high,Oil Mines Regulations 2017 (reportable accident); OISD-RP-206,1,,
M/C,"[""MC"", ""machine"", ""M/C running"", ""M/C guard"", ""m/c chalu""]","Machine, written as M/C in Indian maintenance shorthand.",abbreviation,,none,"Grinding M/C guard removed, wheel cracked, operator bina goggles.",,,high,common Indian plant usage,1,,
MOC,"[""management of change"", ""MOC nahi kiya"", ""without MOC"", ""change without MOC"", ""MOC form"", ""temporary modification"", ""MOC approval""]","Formal review and approval before any temporary or permanent change to equipment, process or procedure.",abbreviation,pseudo_control,pseudo_control,"Temporary hose connected from HP line to test separator without MOC, EIC ko nahi bataya.",Bypassing Safety Controls,Bypassing Safety Controls,high,OISD-RP-206; process safety management,1,,
MSDS,"[""SDS"", ""material safety data sheet"", ""MSDS nahi tha"", ""MSDS available nahi"", ""data sheet""]",Chemical hazard data sheet that should be available where a chemical is stored or used.,abbreviation,pseudo_control,pseudo_control,"Demulsifier drums stored near GGS store, MSDS not available, label bhi fade ho gaya.",,,high,MSIHC Rules 1989; OISD-RP-206,1,,
MTC,"[""medical treatment case"", ""medical case"", ""MTC injury"", ""RWC"", ""restricted work case"", ""light duty"", ""restricted duty""]",Injury needing treatment by a doctor beyond first aid but without lost time.,abbreviation,outcome_cue,outcome,"MTC reported: eye irritation after chemical splash at ETP, goggles nahi the, MSDS unknown.",,,high,OISD-RP-206; IOGP injury classification,1,,
NB,"[""nominal bore"", ""6 NB"", ""8 NB line"", ""dia"", ""inch dia"", ""8 inch line"", ""4 inch flowline""]","Nominal bore pipe size, the standard way Indian reports state pipe diameter.",abbreviation,,none,"6 NB flowline flange bolts missing two, gasket exposed, line live hai.",,,high,common Indian piping usage,1,,
NM,"[""near miss"", ""near-miss"", ""nearmiss"", ""NM report"", ""NMR"", ""near miss reporting"", ""bal bal bacha"", ""bach gaya"", ""hote hote reh gaya""]","Near miss, an event that could have caused injury or damage but did not.",abbreviation,statement_cue,statement_type,"NM: DP stand slipped from fingerboard during racking, derrickman just niche khada tha.",,,high,OISD-RP-206; ONGC/OIL near-miss formats,1,,
NOC,"[""no objection certificate"", ""NOC nahi tha"", ""NOC liya"", ""clearance"", ""electrical NOC"", ""F&S NOC"", ""clearance nahi liya""]",No objection certificate or clearance from another department before starting work in its area.,abbreviation,pseudo_control,pseudo_control,"Excavation near HT cable at GCS done without electrical NOC, cable exposed ho gaya.",Work Authorisation,Work Authorisation,high,common Indian PSU usage,1,,
O/H,"[""OH"", ""overhead"", ""O/H line"", ""OH line"", ""overhead line"", ""overhead crossing"", ""upar tar"", ""upar wire""]",Overhead electrical line or crossing.,abbreviation,energy_cue,energy_cue,"Scaffold pipe being lifted near O/H LT line at GGS store, clearance 1 m only.",,,high,common Indian usage,1,,
O2,"[""oxygen"", ""O2 level"", ""O2 19.5"", ""oxygen test"", ""O2 reading"", ""oxygen nahi check kiya"", ""O2 deficiency""]","Oxygen percentage measured before confined space entry, normally required between 19.5 and 23.5 percent.",abbreviation,exposure_cue,exposure_cue,"O2 test not done before tank entry, sirf LEL check kiya, blower bhi nahi laga tha.",Confined Space,Confined Space,high,OISD-STD-105 confined space entry,1,,
OCS,"[""oil collecting station"", ""OCS-2"", ""OCS me"", ""collecting station"", ""OCS site""]",Oil collecting station where well fluids are gathered and separated (Oil India term).,abbreviation,,none,"OCS-2 tank dyke drain valve open, oily water bahar ja raha, gas smell bhi aa rahi.",,,high,Oil India Limited installation naming,1,,
OHC,"[""occupational health centre"", ""dispensary"", ""first aid centre"", ""FAP"", ""first aid post"", ""medical centre"", ""MO"", ""medical officer"", ""doctor sahab"", ""ambulance""]","Site medical facility, medical officer and ambulance.",abbreviation,,none,"OHC ambulance at rig site tyre puncture since 3 days, driver bhi nahi hai.",,,medium,Oil Mines Regulations 2017 (medical facilities); Factories Act usage,1,,
OISD,"[""Oil Industry Safety Directorate"", ""OISD audit"", ""OISD standard"", ""OISD-STD"", ""OISD observation"", ""OISD point""]",Government safety directorate for the Indian oil industry whose standards and audits apply to the installation.,abbreviation,,none,"OISD audit observation: PSV of test separator not tested since 2023, tag missing.",,,high,oisd.gov.in,1,,
P/L,"[""PL"", ""pipeline"", ""pipe line"", ""P/L ROW"", ""trunk line"", ""flow line"", ""flowline"", ""F/L"", ""line"", ""main line""]","Pipeline or flowline carrying crude, gas or water under pressure.",abbreviation,energy_cue,energy_cue,"Leak on 6 inch P/L near village, crude ground pe, barricade nahi, log dekhne aa rahe.",,,high,OISD-STD-141 / OISD-STD-214 pipelines,1,,
PESO,"[""Petroleum and Explosives Safety Organisation"", ""PESO licence"", ""PESO license"", ""PESO approved"", ""CCOE"", ""explosive dept"", ""explosives licence""]","Regulator that licenses storage of petroleum, explosives and pressure vessels.",abbreviation,,none,"HSD storage at drill site around 5 KL, PESO licence limit se zyada, dyke bhi nahi hai.",,,high,Petroleum Rules 2002,1,,
PG,"[""pressure gauge"", ""P.G."", ""gauge"", ""PG not working"", ""PG kharab"", ""gauge nahi laga"", ""gauge broken"", ""gauge glass toota"", ""TG"", ""temperature gauge"", ""LG"", ""level gauge""]","Pressure (or temperature, level) gauge; a missing or broken gauge means pressure is not being monitored.",abbreviation,energy_cue,energy_cue,"PG on HP separator glass broken, reading nahi dikh raha, operator andaza laga raha.",,,high,common Indian plant usage,1,,
PM,"[""preventive maintenance"", ""PM due"", ""PM nahi hua"", ""maintenance due"", ""AMC"", ""AMC expired"", ""service due"", ""schedule maintenance"", ""PM overdue""]",Preventive maintenance schedule; an overdue PM is a cue that a control may be ineffective.,abbreviation,pseudo_control,pseudo_control,"Hydra PM due since 4 months, brake weak, still used for pipe unloading.",,,high,common Indian plant usage,1,,
PPE,"[""personal protective equipment"", ""PPEs"", ""PPE nahi pehna"", ""PPE nhi tha"", ""bina PPE"", ""without PPE"", ""PPE kit"", ""proper PPE"", ""पीपीई""]","Helmet, shoes, goggles, gloves, harness and similar personal protection worn by the worker.",abbreviation,pseudo_control,pseudo_control,"Helper working at cellar pit edge without PPE, safety belt nahi pehna, chappal me tha.",,,high,OISD-STD-155 personnel protective equipment,1,,
ppm,"[""ppm H2S"", ""10 ppm"", ""ppm reading"", ""ppm me""]","Parts per million, the unit used for toxic gas readings such as H2S.",abbreviation,exposure_cue,exposure_cue,"H2S 15 ppm at wellhead cellar during sampling, operator without BA set, alarm nahi baja.",,,high,Oil Mines Regulations 2017 sour gas limits,1,,
PTW,"[""permit to work"", ""work permit"", ""permit"", ""WP"", ""PTW nahi tha"", ""PTW nhi tha"", ""bina PTW"", ""without PTW"", ""PTW liya"", ""PTW close nahi kiya"", ""cold work permit"", ""CWP"", ""परमिट"", ""पीटीडब्ल्यू""]","Written authorisation from the installation or area in-charge before hot, cold or entry work starts, recording isolations and gas test.",abbreviation,control_present,control_present,"Contractor party welding at OCS-3 flowline header, PTW nahi tha, EIC ko bhi pata nahi.",Work Authorisation,Work Authorisation,high,OISD-STD-105 work permit system; Oil Mines Regulations 2017,1,,
ROW,"[""right of way"", ""ROW encroachment"", ""ROW me digging"", ""pipeline ROW"", ""ROU"", ""right of use"", ""ROW patrolling""]",Pipeline right of way strip where third party digging and encroachment are the main hazards.,abbreviation,exposure_cue,exposure_cue,"Brick kiln encroachment on P/L ROW at KM 18, tractor movement over the line daily.",,,high,PMP Act 1962; OISD-STD-141,1,,
RT,"[""rotary table"", ""rotary"", ""RT floor"", ""rotary floor"", ""rig floor"", ""DF"", ""drill floor"", ""floor pe""]",Rotary table and the rig floor around it; RT also means radiography test in NDT context.,abbreviation,energy_cue,energy_cue,"Roughneck hand near RT while making connection, tong line under tension.",Line of Fire,Line of Fire,high,generic drilling; IADC,1,,
S/D,"[""SD"", ""shutdown"", ""shut down"", ""S/D liya"", ""shutdown le kar"", ""without S/D"", ""bina shutdown"", ""shutdown nahi liya"", ""line S/D"", ""electrical S/D"", ""S/D permit""]","Shutdown of a line, plant or electrical supply taken as isolation before work.",abbreviation,control_present,control_present,"Flowline flange opened bina S/D, sirf wing valve close, THP 20 ksc tha.",Energy Isolation,Energy Isolation,high,OISD-STD-105; common Indian plant usage,1,,
SIF,"[""SIF-p"", ""SIFp"", ""SIF potential"", ""PSIF"", ""serious injury and fatality"", ""life threatening"", ""fatality potential""]","Serious injury or fatality potential, a classification tag rather than something field staff normally write.",abbreviation,statement_cue,statement_type,"SIF-p flagged: crew working at 8 m on mast without harness anchor, safety line nahi thi.",,,low,IOGP / SIF precursor literature; unverified in Indian field reports,1,,
SIMOPS,"[""simultaneous operations"", ""simultaneous work"", ""ek saath do kaam"", ""do party ek jagah"", ""upar niche kaam""]","Two or more jobs going on at the same time in the same area, each creating hazards for the other.",abbreviation,exposure_cue,exposure_cue,"SIMOPS at GGS-2: scaffold erection above while flowline hot tapping going on niche, koi coordination nahi.",,,medium,IOGP / generic oil & gas,1,,
