id,source,record_type,degree_injury_cd,degree_injury,date,year,mine_id,coal_metal,subunit,classification,accident_type,activity,injury_source,nature_injury,body_part,days_lost,no_injuries,mining_equipment,is_oilgas,oilgas_score,oilgas_terms,actual_injury,actual_fatality,narrative,narrative_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids,split_hint
msha_000049,msha,no_injury_event,00,ACCIDENT ONLY,2024-03-01,2024,2103404,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Shovel, Power shovel, Backhoe, Trackhoe, Dragline - Big Muskie",False,0,[],False,False,"When loading trucks on the tailings basin a newly installed by 3rs party hydraulic pump on a PC800 excavator caught on fire. Employee noticed flames in the mirror and exited the excavator. The fire burned for more than 30 minutes before mine and local fire services arrived and put out the fire. No injuries or other equipment involved, the PC800 was a total loss.",64,"When loading trucks on the tailings basin a newly installed by 3rs party hydraulic pump on a PC800 excavator caught on fire. Employee noticed flames in the mirror and exited the excavator. The fire burned for more than 30 minutes before mine and local fire services arrived and put out the fire. No injuries or other equipment involved, the PC800 was a total loss.",False,,,,train_candidate
msha_000053,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2023-06-28,2023,2400839,C,"STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,"Caught in, under or between a moving and a stationary object",Machine maintenance,"METAL,NEC(PIPE,WIRE,NAIL)",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,0,1,NO VALUE FOUND,False,0,[],True,False,"Dragline operator cut the tip of finger while reinstalling a lower hoist chain pin during a PM. Dragline Operator's ring and pinky fingers were pinched under the pin's locking collar cap, with the ring finger taking most of the injury. The tip of the ring finger was cut off with only slight pinch damage to the pinky.",57,"Dragline operator cut the tip of finger while reinstalling a lower hoist chain pin during a PM. Dragline Operator's ring and pinky fingers were pinched under the pin's locking collar cap, with the ring finger taking most of the injury. The tip of the ring finger was cut off with only slight pinch damage to the pinky.",False,,,,train_candidate
msha_000062,msha,no_injury_event,00,ACCIDENT ONLY,2019-02-07,2019,3000663,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"The DC Loop contactor on the #3 hoist failed due to an electrical fault that could not be repaired within 30 minutes. Since the #3 hoist was not operable during that time, there was not 2 means of egress and the mine was evacuated.",44,"The DC Loop contactor on the #3 hoist failed due to an electrical fault that could not be repaired within 30 minutes. Since the #3 hoist was not operable during that time, there was not 2 means of egress and the mine was evacuated.",False,,,,train_candidate
msha_000063,msha,no_injury_event,00,ACCIDENT ONLY,2026-06-08,2026,3003255,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,Production hoist stopped operating. Recycled start up procedure and hoist began to operate.,13,Production hoist stopped operating. Recycled start up procedure and hoist began to operate.,False,,,,train_candidate
msha_000067,msha,no_injury_event,00,ACCIDENT ONLY,2021-09-06,2021,3301184,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Milling machinery, Block press, Ballast machine",False,0,[],False,False,"Unknown at this time. Alternative (Alt) fuel supply ignited within the Alt fuel baghouse, damaging the baghouse internals and feeder belt within the equipment.",24,"Unknown at this time. Alternative (Alt) fuel supply ignited within the Alt fuel baghouse, damaging the baghouse internals and feeder belt within the equipment.",False,,,,train_candidate
msha_000083,msha,no_injury_event,00,ACCIDENT ONLY,2025-02-03,2025,4105232,M,"STRIP, QUARY, OPEN PIT",MACHINERY,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Shovel, Power shovel, Backhoe, Trackhoe, Dragline - Big Muskie",False,0,[],False,False,Excavator was working to bring down boulders from top deck of mud-cell #1 of all the fresh shot and boulders. EE came down to the bottom and tried pulling boulders. The boulder was in back and sloughed off and rolled down into cab. breaking the glass.,46,Excavator was working to bring down boulders from top deck of mud-cell #1 of all the fresh shot and boulders. EE came down to the bottom and tried pulling boulders. The boulder was in back and sloughed off and rolled down into cab. breaking the glass.,False,,,,train_candidate
msha_000087,msha,no_injury_event,00,ACCIDENT ONLY,2023-02-27,2023,4404856,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The loop control card went bad on the Page Service Hoist. This is a Friction Hoist.,16,The loop control card went bad on the Page Service Hoist. This is a Friction Hoist.,False,,,,train_candidate
msha_000088,msha,no_injury_event,00,ACCIDENT ONLY,2021-05-17,2021,4600015,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Milling machinery, Block press, Ballast machine",False,0,[],False,False,Oil that lubricates the ring gear leaked onto the kiln which was determined to cause the ignition of the oil. The ring gear was fully guarded and the fire was under the guard. 911 was called immediately along with both Federal and State regulatory agencies. There was minimal damage found. There were no injuries.,54,Oil that lubricates the ring gear leaked onto the kiln which was determined to cause the ignition of the oil. The ring gear was fully guarded and the fire was under the guard. 911 was called immediately along with both Federal and State regulatory agencies. There was minimal damage found. There were no injuries.,False,,,,train_candidate
msha_000095,msha,no_injury_event,00,ACCIDENT ONLY,2025-03-11,2025,4608759,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"At approximately 9:00 a.m., the Winifrede Slope Hoist was found to be non-operational, displaying a drum fault condition for over 30 minutes. Electricians are currently troubleshooting on-site and conducting necessary repairs. No accidents or entrapments have resulted from this issue, and personnel can safely enter and exit the mine. This is not an emergency escapeway.",55,"At approximately 9:00 a.m., the Winifrede Slope Hoist was found to be non-operational, displaying a drum fault condition for over 30 minutes. Electricians are currently troubleshooting on-site and conducting necessary repairs. No accidents or entrapments have resulted from this issue, and personnel can safely enter and exit the mine. This is not an emergency escapeway.",False,,,,train_candidate
msha_000098,msha,no_injury_event,00,ACCIDENT ONLY,2025-02-20,2025,4703644,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Shovel, Power shovel, Backhoe, Trackhoe, Dragline - Big Muskie",False,0,[],False,False,While operating the Volvo 550 excavator a hydraulic leak started during operation that led to a fire in the engine compartment. The operator observed the fire and safely exited the equipment.,31,While operating the Volvo 550 excavator a hydraulic leak started during operation that led to a fire in the engine compartment. The operator observed the fire and safely exited the equipment.,False,,,,train_candidate
msha_000099,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2022-07-25,2022,4800083,C,"STRIP, QUARY, OPEN PIT",MACHINERY,"Caught in, under or between running or meshing objects",Hand tools (powered),"HOISTING APPARATUS,NEC",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,37,1,"Tugger, Air winch, Air hoist, Air jack, Electric winch ",False,0,[],True,False,"Employee's right hand was caught between winch hook and winch fairlead opening resulting in the amputation of the right ring and middle finger approximately 1/2"" 1"" from the tip.",29,"Employee's right hand was caught between winch hook and winch fairlead opening resulting in the amputation of the right ring and middle finger approximately 1/2"" 1"" from the tip.",False,,,,train_candidate
msha_000103,msha,no_injury_event,00,ACCIDENT ONLY,2023-08-18,2023,4800977,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,A series of three grass fires started along the railroad tracks west of the mine property and burned onto the mine. It took firefighting personnel over 30 minutes to extinguish the flames.,32,A series of three grass fires started along the railroad tracks west of the mine property and burned onto the mine. It took firefighting personnel over 30 minutes to extinguish the flames.,False,,,,train_candidate
msha_000110,msha,no_injury_event,00,ACCIDENT ONLY,2019-11-26,2019,0100851,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,This was a planned outage for the Material Hoist. The rope would not track right on the drum. The hoist rope was changed out to a new cable. MSHA was on site when this replacement was finished.,37,This was a planned outage for the Material Hoist. The rope would not track right on the drum. The hoist rope was changed out to a new cable. MSHA was on site when this replacement was finished.,False,,,,train_candidate
msha_000111,msha,no_injury_event,00,ACCIDENT ONLY,2019-10-20,2019,0102901,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,At approximately 9:30 am the service hoist on the Camp Creek side went down due to a E-Stop relay fault. During the investigation on the cause they found a bad wire going to the 24v card located in the PLC cabinet. The repair was made and the hoist was put back in service at 11:40am.,55,At approximately 9:30 am the service hoist on the Camp Creek side went down due to a E-Stop relay fault. During the investigation on the cause they found a bad wire going to the 24v card located in the PLC cabinet. The repair was made and the hoist was put back in service at 11:40am.,False,,,,train_candidate
msha_000112,msha,fatal,01,FATALITY,2022-01-28,2022,0200024,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,Struck against a moving object,Haulage or Dump truck,"HGHWY ORE CARIER,LRGE TRK","UNCLASSIFIED,NOT DETERMED","HEAD,NEC",,2,Ore haulage trucks -  on highway trucks,False,0,[],True,True,"Our mixer driver was hauling for Freeport McMoRan at their Morenci mine location, the load was rejected and sent back, driver followed the escort down a hill with a full load, lost brakes and turned the mixer on its driver's side.",41,"Our mixer driver was hauling for Freeport McMoRan at their Morenci mine location, the load was rejected and sent back, driver followed the escort down a hill with a full load, lost brakes and turned the mixer on its driver's side.",False,,,,train_candidate
msha_000114,msha,no_injury_event,00,ACCIDENT ONLY,2026-03-08,2026,0203398,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"At 2:43pm on 3/8/2026 both hoists lost power. 12 miners were working in the vent shaft, 7 miners were working in the main shaft. Power was re-established to the vent shaft at 3:31PM. Power was re-established to the main shaft at 3:45. No injuries sustained due to loss of power.",50,"At 2:43pm on 3/8/2026 both hoists lost power. 12 miners were working in the vent shaft, 7 miners were working in the main shaft. Power was re-established to the vent shaft at 3:31PM. Power was re-established to the main shaft at 3:45. No injuries sustained due to loss of power.",False,,,,train_candidate
msha_000118,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2025-11-13,2025,0402542,M,MILL OPERATION/PREPARATION PLANT,MACHINERY,"Caught in, under or between running or meshing objects",Mill equipment,"MACHINE-MILL,CLEANING PLT",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,29,1,"Milling machinery, Block press, Ballast machine",False,0,[],True,False,Docking lift gate level pulled in right index finger of EE into roller. Amputation of right index finger at 2nd knuckle.,21,Docking lift gate level pulled in right index finger of EE into roller. Amputation of right index finger at 2nd knuckle.,False,,,,train_candidate
msha_000121,msha,no_injury_event,00,ACCIDENT ONLY,2021-07-08,2021,0405701,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Conveyor, Belt feeder, Stage loader, Hopper shaker, Belt structure",False,0,[],False,False,Hot clinker dumped from the pan conveyor onto the rubber conveyor belt causing the belt to heat up and burn. This was caused due to a programming error programmed by the manufacturer of the plant when a detection of hot clinker is identified.,43,Hot clinker dumped from the pan conveyor onto the rubber conveyor belt causing the belt to heat up and burn. This was caused due to a programming error programmed by the manufacturer of the plant when a detection of hot clinker is identified.,False,,,,train_candidate
msha_000125,msha,no_injury_event,00,ACCIDENT ONLY,2021-12-27,2021,1000082,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"No. 3 Hoist #2 Side faulted on over speed would not clear fault. Points on Lilly were closed, had to disconnect Lilly drive shaft and turn Lilly back to bring over speed cam off cam follower so hoist would reset.",40,"No. 3 Hoist #2 Side faulted on over speed would not clear fault. Points on Lilly were closed, had to disconnect Lilly drive shaft and turn Lilly back to bring over speed cam off cam follower so hoist would reset.",False,,,,train_candidate
msha_000127,msha,no_injury_event,00,ACCIDENT ONLY,2025-04-16,2025,1000088,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,Lost incoming power to the mine site for a short period of time due to a weather event which caused the hoists to trip. The hoists and compressors needed to be reset and started back up. Hoists were back operational by 7:04 PM.,43,Lost incoming power to the mine site for a short period of time due to a weather event which caused the hoists to trip. The hoists and compressors needed to be reset and started back up. Hoists were back operational by 7:04 PM.,False,,,,train_candidate
msha_000130,msha,no_injury_event,00,ACCIDENT ONLY,2019-12-08,2019,1103143,C,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Smoke was observed coming from the northeast side of the raw coal pile located near the Prairie Eagle East Portal. Actions were taken to treat and remove the affected material.,30,Smoke was observed coming from the northeast side of the raw coal pile located near the Prairie Eagle East Portal. Actions were taken to treat and remove the affected material.,False,,,"[""msha_000532"", ""msha_005160"", ""msha_006080"", ""msha_006583""]",train_candidate
msha_000132,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2007-03-30,2007,1302058,M,"STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,"Caught in, under or between a moving and a stationary object",Handling supplies or material,METAL COVERS & GUARDS,AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,26,1,Ore haulage trucks - off highway trucks,True,2,"[""fracturing""]",True,False,Smashed right hand middle finger tip area in tailgate (fracturing) on dump truck.,13,Smashed right hand middle finger tip area in tailgate (fracturing) on dump truck.,False,,,,train_candidate
msha_000134,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2024-09-10,2024,1500087,M,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,"Caught in, under or between NEC",Machine maintenance,BELTS (NOT CONVEYOR),AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,0,1,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],True,False,"Employee was installing a new air conditioner and alternator on a loader when EE's finger got caught in the belt, amputating the tip of EE's left middle finger up to the nail bed. Employee sought medical attention and is currently on restricted duty.",43,"Employee was installing a new air conditioner and alternator on a loader when EE's finger got caught in the belt, amputating the tip of EE's left middle finger up to the nail bed. Employee sought medical attention and is currently on restricted duty.",False,,,,train_candidate
msha_000143,msha,no_injury_event,00,ACCIDENT ONLY,2023-03-14,2023,2100831,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Contractors were cutting holes in a section of chute in order to rig and remove it from the Pellet Plant Screen House. While cutting workers discovered a fire had started in the chute. Contractors notified their supervisor who then called 911. Fire department responded and extinguished the fire.,48,Contractors were cutting holes in a section of chute in order to rig and remove it from the Pellet Plant Screen House. While cutting workers discovered a fire had started in the chute. Contractors notified their supervisor who then called 911. Fire department responded and extinguished the fire.,False,,,,train_candidate
msha_000144,msha,no_injury_event,00,ACCIDENT ONLY,2023-10-10,2023,2102974,M,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],False,False,Loader operator was working stockpile when they noticed flames in the engine compartment of CAT 980G Wheel Loader. Operator attempted to extinguish fire. Fire Department was called and it is presumed that they had the fire out in less than 30 minutes; Plant Manager called MSHA just in case (MSHA# 0399351). No injuries. Damage was contained to only the 980G.,60,Loader operator was working stockpile when they noticed flames in the engine compartment of CAT 980G Wheel Loader. Operator attempted to extinguish fire. Fire Department was called and it is presumed that they had the fire out in less than 30 minutes; Plant Manager called MSHA just in case (MSHA# 0399351). No injuries. Damage was contained to only the 980G.,False,,,,train_candidate
msha_000155,msha,no_injury_event,00,ACCIDENT ONLY,2020-07-07,2020,2602512,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"During the pm/inspection of the service hoist, a crack in the yoke for the service hoist brake system was found.",20,"During the pm/inspection of the service hoist, a crack in the yoke for the service hoist brake system was found.",False,,,,train_candidate
msha_000162,msha,no_injury_event,00,ACCIDENT ONLY,2021-01-08,2021,3003255,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The brake on the service hoist became out of adjustment when the hoisting engineer was doing the hoisting checks. The brake was adjusted after trouble shooting and placed back in service.,31,The brake on the service hoist became out of adjustment when the hoisting engineer was doing the hoisting checks. The brake was adjusted after trouble shooting and placed back in service.,False,,,,train_candidate
msha_000168,msha,no_injury_event,00,ACCIDENT ONLY,2024-08-01,2024,3401289,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,At 6:15 the #2 coal belt was staged down. At 7:15 the production supervisor saw smoke coming from the north side of the plant. At 7:25 the pryor fire department was called. During this time a head count was conducted. At 7:45 the fire department arrived onsite. At 8:00 the fire was put out. At 8:39 MSHA was called to report the fire.,63,At 6:15 the #2 coal belt was staged down. At 7:15 the production supervisor saw smoke coming from the north side of the plant. At 7:25 the pryor fire department was called. During this time a head count was conducted. At 7:45 the fire department arrived onsite. At 8:00 the fire was put out. At 8:39 MSHA was called to report the fire.,False,,,,train_candidate
msha_000177,msha,no_injury_event,00,ACCIDENT ONLY,2023-11-01,2023,3609322,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Carriage-mounted drills, Rail, Rubber-tired, Jumbo, Air-track drill",False,0,[],False,False,"IR DMM2 drill, CO# 114. Hydraulic line burst while drill was in operation causing fluid to spray on engine which created an instantaneous fire. Drill operator immediately exited drill with no injuries. Fire was contained by site personal using fire extinguishers and site water truck.",45,"IR DMM2 drill, CO# 114. Hydraulic line burst while drill was in operation causing fluid to spray on engine which created an instantaneous fire. Drill operator immediately exited drill with no injuries. Fire was contained by site personal using fire extinguishers and site water truck.",False,,,,train_candidate
msha_000178,msha,fatal,01,FATALITY,2025-02-22,2025,3900022,M,MILL OPERATION/PREPARATION PLANT,POWERED HAULAGE,"Caught in, under or between NEC",Front-end loader,"BRICK,CERAMIC",CRUSHING,MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],True,True,"A miner received fatal injuries. After a bridge collapsed that the miner was operating a skid steer loader on. The miner was clearing refractory brick form a rotary kiln. The bridge that was installed by the property owner collapsed. The skid steer fell approximately 10 feet into a hopper, causing the payload of brick to engulf the operator causing fatal wounds.",61,"A miner received fatal injuries. After a bridge collapsed that the miner was operating a skid steer loader on. The miner was clearing refractory brick form a rotary kiln. The bridge that was installed by the property owner collapsed. The skid steer fell approximately 10 feet into a hopper, causing the payload of brick to engulf the operator causing fatal wounds.",False,,,,train_candidate
