id,gold_id,source,record_type,text,words,language,script,sif_potential,confidence,statement_type,statement_type_raw,life_saving_rules,lsr_raw,energy_types,energy_source_raw,barrier,barrier_raw,barrier_status,barrier_status_raw,exposure,trap_type_raw,trap_family,verdict_candidates,rationale,review_flags,split,fold
gold_R026,R026,gold_180,observation,Do saal purane confined space fatality case ka study TBT me discuss kiya gaya.,14,hinglish,latin,NO,0.9,training_example,training,[],NONE,[],none,,none,,not_applicable,absent,training_content,other,"[""NON_EVENT""]",Training record with fatal vocabulary.,[],gold_test,2
gold_R027,R027,gold_180,observation,"Flange kholte waqt line depressurise confirm nahi kiya gaya tha, gas nikla, aag nahi lagi.",15,hinglish,latin,YES,0.94,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""pressure""]",pressure,other,depressurisation and double block bleed,absent,failed,present,no_injury_but_sif,domain_scenario,"[""P_SIF"", ""EXPOSURE""]",Uncontrolled release with personnel at break point.,[],gold_test,2
gold_R028,R028,gold_180,observation,"Ladder theek se secure nahi thi, worker 2.5 m pe kaam kar raha tha.",14,hinglish,latin,UNCERTAIN,0.55,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,other,ladder securing,absent,failed,present,borderline_height,low_energy_or_numbers,"[""INSUFFICIENT"", ""EXPOSURE""]",Genuine grey zone at this height.,[],gold_test,4
gold_R029,R029,gold_180,observation,"Workshop me jhaadu nahi lagaya gaya tha, floor pe dust tha.",11,hinglish,latin,NO,0.95,observed,observed,[],NONE,[],none,management_control,housekeeping,present_ineffective,degraded,present,trivial_housekeeping,other,"[""LOW_ENERGY"", ""NON_EVENT""]",No energy source.,[],gold_test,4
gold_R030,R030,gold_180,observation,"Machine room me oil spill floor pe tha, koi barricade nahi tha.",12,hinglish,latin,NO,0.78,observed,observed,[],NONE,[],none,exclusion_zone,housekeeping and barricading,absent,failed,present,trivial_housekeeping,other,"[""LOW_ENERGY"", ""NON_EVENT""]",Slip hazard without adjacent machinery.,[],gold_test,1
gold_R031,R031,gold_180,observation,"Crew bus ne kutcha road pe overtake kiya, driver mobile pe baat kar raha tha.",15,hinglish,latin,YES,0.85,observed,observed,"[""Driving""]",Driving,"[""motion""]",vehicle,other,journey management and distraction control,absent,failed,present,india_road,india_context,"[""EXPOSURE"", ""P_SIF""]",Road transport is the largest fatality contributor.,[],gold_test,3
gold_R032,R032,gold_180,observation,Bijli girne se GGS ke paas ek ped gir gaya. Koi injury nahi.,13,hinglish,latin,UNCERTAIN,0.55,observed,observed,[],NONE,"[""thermal""]",thermal_fire,other,lightning protection,unknown,unknown,absent,india_lightning,india_context,"[""INSUFFICIENT"", ""EXPOSURE""]",High strike density near tank farm.,[],gold_test,3
gold_R033,R033,gold_180,observation,"Raat me rig ke paas hathi aa gaye the, crew ko shelter me bheja gaya.",15,hinglish,latin,UNCERTAIN,0.45,observed,observed,[],NONE,"[""biological""]",biological,other,wildlife exclusion and response plan,present_effective,intact,absent,india_wildlife,india_context,"[""INSUFFICIENT"", ""EXPOSURE""]","Real mechanism, no IOGP rule, response worked.",[],gold_test,2
gold_R034,R034,gold_180,observation,"Garmi me worker ko chakkar aaya, use chhaya me le jaya gaya.",12,hinglish,latin,UNCERTAIN,0.5,observed,observed,[],NONE,[],none,other,heat stress management,present_ineffective,degraded,present,india_heat,india_context,"[""INSUFFICIENT""]",Heat stroke can be fatal. Actioned.,[],gold_test,3
gold_R035,R035,gold_180,observation,Pump P-104 se phir se leakage dekhi gayi.,8,hinglish,latin,UNCERTAIN,0.45,observed,observed,[],NONE,"[""pressure""]",pressure,energy_isolation,equipment integrity,present_ineffective,degraded,unknown,recurrence_signal,domain_scenario,"[""INSUFFICIENT"", ""EXPOSURE""]","Value comes from repetition, not this row.",[],gold_test,4
gold_R036,R036,gold_180,observation,"Pump P-104 ke gland se seepage report kiya gaya, third time is month.",13,hinglish,latin,UNCERTAIN,0.48,observed,observed,[],NONE,"[""pressure""]",pressure,energy_isolation,equipment integrity,present_ineffective,degraded,unknown,recurrence_signal,domain_scenario,"[""INSUFFICIENT"", ""EXPOSURE""]",Same equipment recurring.,[],gold_test,0
gold_R037,R037,gold_180,observation,Radiography chal rahi thi aur ek helper barricaded area ke andar chala gaya.,13,hinglish,latin,YES,0.87,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""radiation""]",radiation,exclusion_zone,radiation exclusion zone,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Ionising radiation exposure.,[],gold_test,0
gold_R038,R038,gold_180,observation,Portable DG set ka exhaust room ke andar tha aur darwaza band tha.,13,hinglish,latin,YES,0.88,observed,observed,[],NONE,"[""chemical""]",toxic_atmosphere,gas_test,ventilation and exhaust routing,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Carbon monoxide accumulation.,"[""sif_yes_no_lsr""]",gold_test,1
gold_R039,R039,gold_180,observation,Welding machine ki earthing loose thi aur wet area me use ho rahi thi.,14,hinglish,latin,YES,0.85,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,other,earthing and bonding,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Electrocution risk elevated by moisture.,[],gold_test,4
gold_R040,R040,gold_180,observation,Diesel tank ke paas ek worker smoking kar raha tha.,10,hinglish,latin,UNCERTAIN,0.6,observed,observed,"[""Hot Work""]",Hot Work,"[""thermal""]",thermal_fire,other,ignition source control,absent,failed,present,fuel_volatility_nuance,other,"[""INSUFFICIENT"", ""EXPOSURE""]","Diesel flashpoint high, ignition less credible.",[],gold_test,2
gold_R041,R041,gold_180,observation,Fire extinguisher ka pressure gauge red zone me tha.,9,hinglish,latin,NO,0.72,observed,observed,[],NONE,[],none,other,fire suppression,present_ineffective,degraded,absent,mitigation_barrier,capacity_or_barrier_status,"[""LOW_ENERGY"", ""NON_EVENT""]","Mitigation barrier degraded, no release.",[],gold_test,3
gold_R042,R042,gold_180,observation,Emergency exit ke saamne material stack kiya hua tha.,9,hinglish,latin,UNCERTAIN,0.5,observed,observed,[],NONE,[],none,management_control,escape route,absent,failed,unknown,mitigation_barrier,capacity_or_barrier_status,"[""INSUFFICIENT""]",Consequence only if another event occurs.,[],gold_test,1
gold_R043,R043,gold_180,observation,"Drilling ke dauran mud loss hua, kick ke sign the, BOP function test overdue tha.",15,hinglish,latin,YES,0.96,observed,observed,"[""Work Authorisation""]",Work Authorisation,"[""pressure""]",pressure,energy_isolation,well control and BOP integrity,absent,failed,present,well_control,domain_scenario,"[""EXPOSURE"", ""P_SIF""]","Well-control precursor, highest priority class.",[],gold_test,0
gold_R044,R044,gold_180,observation,"Tank ki chhat pe kaam ho raha tha, guardrail nahi tha aur worker akela tha.",15,hinglish,latin,YES,0.92,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,fall_arrest,edge protection,absent,failed,present,lone_working,domain_scenario,"[""EXPOSURE"", ""P_SIF""]",Unprotected edge plus lone working.,[],gold_test,0
gold_R045,R045,gold_180,observation,Acid transfer ke time worker ne goggles nahi pehne the.,10,hinglish,latin,YES,0.68,observed,observed,[],NONE,"[""chemical""]",chemical,ppe,eye protection,pseudo,failed,present,life_altering_not_fatal,domain_scenario,"[""EXPOSURE"", ""P_SIF""]",Blindness meets the SIF definition.,"[""sif_yes_no_lsr""]",gold_test,4
gold_R046,R046,gold_180,observation,"Forklift operator ne reverse karte time horn nahi bajaya, pichhe ek worker khada tha.",14,hinglish,latin,YES,0.72,observed,observed,"[""Line of Fire""]",Line of Fire,"[""motion""]",vehicle,other,pedestrian vehicle segregation,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Struck-by by plant vehicle.,[],gold_test,3
gold_R047,R047,gold_180,observation,"Nitrogen purging chal rahi thi, entry permit nahi tha, ek worker manhole ke paas khada tha.",16,hinglish,latin,YES,0.94,observed,observed,"[""Confined Space""]",Confined Space,"[""chemical""]",oxygen_deficiency,gas_test,entry permit and atmosphere monitoring,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Nitrogen asphyxiation gives no warning.,[],gold_test,1
gold_R048,R048,gold_180,observation,"Trench ke bilkul kinare pe excavated soil rakhi hui thi, depth 3 m.",13,hinglish,latin,YES,0.85,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""gravity""]",excavation_collapse,other,spoil setback distance,absent,failed,unknown,none,none,"[""EXPOSURE"", ""P_SIF""]",Spoil at edge loads the trench wall.,[],gold_test,0
gold_R049,R049,gold_180,observation,Seismic party ke vehicle ne jungle road pe brake problem report kiya.,12,hinglish,latin,YES,0.8,observed,observed,"[""Driving""]",Driving,"[""motion""]",vehicle,other,vehicle roadworthiness,absent,failed,present,india_remote,india_context,"[""EXPOSURE"", ""P_SIF""]",Brake defect with delayed emergency response.,[],gold_test,1
gold_R050,R050,gold_180,observation,Pichle hafte ka LOTO issue ab resolve ho chuka hai.,10,hinglish,latin,NO,0.8,historical,historical,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,present_effective,intact,absent,historical_closed,historical,"[""NON_EVENT""]",Historical and closed.,[],gold_test,2
gold_R051,R051,gold_180,observation,Worker ne bina fall arrest ke monkey board pe climb kiya.,11,hinglish,latin,YES,0.95,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,fall_arrest,fall arrest system,absent,failed,present,rig_specific,other,"[""P_SIF"", ""EXPOSURE""]",Unarrested fall from derrick platform.,[],gold_test,3
gold_R052,R052,gold_180,observation,Scaffolding pe tag nahi laga tha lekin us par koi kaam nahi ho raha tha.,15,hinglish,latin,NO,0.75,observed,observed,"[""Working at Height""]",Working at Height,"[""gravity""]",gravity_height,management_control,scaffold inspection tag,absent,failed,absent,barrier_failed_no_exposure,domain_scenario,"[""LOW_ENERGY"", ""SUCCESS"", ""NON_EVENT""]","Administrative barrier failed, nobody exposed.",[],gold_test,3
gold_R053,R053,gold_180,observation,"Worker ko hathodi se ungli pe chot lagi, first aid diya gaya.",12,hinglish,latin,NO,0.92,observed,observed,[],NONE,[],none,ppe,hand protection,pseudo,degraded,present,injury_but_low_sif,low_energy_or_numbers,"[""LOW_ENERGY"", ""NON_EVENT""]","Hand tool injury, no lethal energy.",[],gold_test,0
gold_R054,R054,gold_180,observation,"Pipeline se illegal tapping ki koshish dekhi gayi, aas paas log maujud the.",13,hinglish,latin,YES,0.88,observed,observed,[],NONE,"[""thermal""]",thermal_fire,energy_isolation,pipeline security and containment,absent,failed,present,india_pilferage,india_context,"[""EXPOSURE"", ""P_SIF""]",Uncontrolled release by untrained persons.,"[""sif_yes_no_lsr""]",gold_test,0
gold_R055,R055,gold_180,observation,Gas compressor shed me ventilation fan band tha aur gas detector bhi kaam nahi kar raha tha.,17,hinglish,latin,YES,0.9,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""chemical""]",toxic_atmosphere,gas_test,ventilation and gas detection,absent,failed,unknown,multiple_barrier_failure,multi_rule_or_event,"[""EXPOSURE"", ""P_SIF""]",Two independent barriers down together.,"[""multi_rule_but_single_lsr""]",gold_test,3
gold_R056,R056,gold_180,observation,"Rig 7 pe crane operation ke dauran load swing hua, ek helper kareeb khada tha.",15,hinglish,latin,YES,0.9,observed,observed,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,"[""gravity"", ""mechanical""]",suspended_load,exclusion_zone,exclusion zone under load,absent,failed,present,duplicate_cluster_A,duplicate_cluster,"[""EXPOSURE"", ""P_SIF""]",Cluster A report 1 of 3.,[],gold_test,1
gold_R057,R057,gold_180,observation,"Crane se suspended load hilne ki wajah se helper ko hatna pada. Rig 7, morning shift.",16,hinglish,latin,YES,0.9,observed,observed,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,"[""gravity"", ""mechanical""]",suspended_load,exclusion_zone,exclusion zone under load,absent,failed,present,duplicate_cluster_A,duplicate_cluster,"[""EXPOSURE"", ""P_SIF""]",Cluster A report 2 of 3.,[],gold_test,1
gold_R058,R058,gold_180,observation,"Lifting operation me load control se bahar gaya, koi injury nahi. Rig 7.",13,hinglish,latin,YES,0.9,observed,observed,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,"[""gravity"", ""mechanical""]",suspended_load,exclusion_zone,exclusion zone under load,absent,failed,present,duplicate_cluster_A,duplicate_cluster,"[""EXPOSURE"", ""P_SIF""]",Cluster A report 3 of 3.,[],gold_test,2
gold_R059,R059,gold_180,observation,"Isolaton verify nahi kiya gaya tha, energised panel pe kaam chal raha tha, glove bhi nahi tha.",17,hinglish,latin,YES,0.93,observed,observed,"[""Energy Isolation""]",Energy Isolation,"[""electrical""]",electrical,energy_isolation,isolation and LOTO verification,absent,failed,present,spelling_error,language_noise,"[""EXPOSURE"", ""P_SIF""]",Misspelled safety-critical term.,[],gold_test,3
gold_R060,R060,gold_180,observation,"Confined spce me entry hui bina gas tsting ke, superviser ko pata nahi tha.",14,hinglish,latin,YES,0.94,observed,observed,"[""Confined Space""]",Confined Space,"[""chemical""]",oxygen_deficiency,gas_test,gas test and entry permit,absent,failed,present,spelling_error,language_noise,"[""EXPOSURE"", ""P_SIF""]",Two misspellings plus supervision failure.,[],gold_test,2
gold_R061,R061,gold_180,observation,Unsafe act observed aur spot pe correct kar diya gaya. TBT diya gaya.,13,hinglish,latin,NO,0.6,observed,observed,[],NONE,[],none,,none,unknown,unknown,unknown,boilerplate,vague_or_unscorable,"[""LOW_ENERGY"", ""NON_EVENT""]",Template closure text. Carries no information.,[],gold_test,2
gold_R062,R062,gold_180,observation,UA observed during round. Worker ko counsel kiya gaya.,9,hinglish,latin,NO,0.6,observed,observed,[],NONE,[],none,,none,unknown,unknown,unknown,boilerplate,vague_or_unscorable,"[""LOW_ENERGY"", ""NON_EVENT""]","Template text, no hazard described.",[],gold_test,1
gold_R063,R063,gold_180,observation,"Unsafe condition noted, rectified immediately.",5,english,latin,NO,0.58,observed,observed,[],NONE,[],none,,none,unknown,unknown,unknown,boilerplate,vague_or_unscorable,"[""LOW_ENERGY"", ""NON_EVENT""]",Template closure with no detail.,[],gold_test,1
gold_R064,R064,gold_180,observation,"Housekeeping poor tha, cleaning kara di gayi.",7,hinglish,latin,NO,0.9,observed,observed,[],NONE,[],none,management_control,housekeeping,present_ineffective,degraded,unknown,boilerplate,vague_or_unscorable,"[""LOW_ENERGY"", ""NON_EVENT""]",Trivial and closed.,[],gold_test,0
gold_R065,R065,gold_180,observation,Observation closed. No further action required.,6,english,latin,NO,0.55,observed,observed,[],NONE,[],none,,none,unknown,unknown,unknown,boilerplate,vague_or_unscorable,"[""LOW_ENERGY"", ""NON_EVENT""]",Closure record only.,[],gold_test,4
gold_R066,R066,gold_180,observation,"Toolbox talk conduct kiya gaya, sabhi worker present the.",9,hinglish,latin,NO,0.92,training_example,training,[],NONE,[],none,,none,,not_applicable,absent,training_content,other,"[""NON_EVENT""]",Training record.,[],gold_test,3
gold_R067,R067,gold_180,observation,"PPE compliance check kiya gaya, sab theek paya gaya.",9,hinglish,latin,NO,0.9,observed,positive,[],NONE,[],none,other,personal protective equipment,present_effective,intact,absent,positive_observation,positive_observation,"[""LOW_ENERGY"", ""NON_EVENT""]","Compliance verification, no finding.",[],gold_test,3
gold_R068,R068,gold_180,observation,"Worker ne safety shoes nahi pehne the, workshop area.",9,hinglish,latin,NO,0.88,observed,observed,[],NONE,[],none,other,foot protection,absent,failed,present,trivial_ppe,contradiction_ppe,"[""LOW_ENERGY"", ""NON_EVENT""]",Foot protection gap without heavy load or energy source.,[],gold_test,2
gold_R069,R069,gold_180,observation,"Helmet nahi pehna tha, ground level pe kaam kar raha tha.",11,hinglish,latin,NO,0.85,observed,observed,[],NONE,[],none,ppe,head protection,pseudo,failed,present,ppe_ground_level,contradiction_ppe,"[""LOW_ENERGY"", ""NON_EVENT""]",Same PPE gap as R011 but no overhead or height energy.,[],gold_test,1
gold_R070,R070,gold_180,observation,"Hand glove nahi pehne the, manual material handling ho raha tha.",11,hinglish,latin,NO,0.87,observed,observed,[],NONE,[],none,ppe,hand protection,pseudo,failed,present,trivial_ppe,contradiction_ppe,"[""LOW_ENERGY"", ""NON_EVENT""]",Hand injury potential only.,[],gold_test,1
gold_R071,R071,gold_180,observation,"Reflective jacket nahi pehna tha, plant road ke kinare kaam.",10,hinglish,latin,UNCERTAIN,0.5,observed,observed,[],NONE,"[""motion""]",vehicle,other,high visibility clothing,absent,failed,present,borderline_ppe,contradiction_ppe,"[""INSUFFICIENT"", ""EXPOSURE""]",Visibility failure near vehicle movement. Grey zone.,[],gold_test,1
gold_R072,R072,gold_180,observation,Ear plug nahi pehna tha compressor area me.,8,hinglish,latin,NO,0.85,observed,observed,[],NONE,[],none,other,hearing protection,absent,failed,present,trivial_ppe,contradiction_ppe,"[""LOW_ENERGY"", ""NON_EVENT""]","Chronic health issue, not an acute fatality mechanism.",[],gold_test,4
gold_R073,R073,gold_180,observation,Gas cylinder bina trolley ke khada tha aur chain se secure nahi tha.,13,hinglish,latin,UNCERTAIN,0.58,observed,observed,[],NONE,"[""pressure""]",pressure,other,cylinder securing,absent,failed,unknown,borderline,other,"[""INSUFFICIENT"", ""EXPOSURE""]",Falling cylinder can rupture. Exposure not stated.,[],gold_test,1
gold_R074,R074,gold_180,observation,"Vehicle ko sirf jack pe uthakar niche kaam kiya ja raha tha, axle stand nahi tha.",16,hinglish,latin,YES,0.91,observed,observed,"[""Line of Fire""]",Line of Fire,"[""mechanical"", ""motion""]",mechanical_motion,other,mechanical support stands,absent,failed,present,none,none,"[""EXPOSURE"", ""P_SIF""]",Crush fatality if jack fails with person underneath.,[],gold_test,2
gold_R075,R075,gold_180,observation,H2S detector ka alarm bypass kiya gaya tha kyunki baar baar baj raha tha.,14,hinglish,latin,YES,0.95,observed,observed,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,"[""chemical""]",toxic_atmosphere,gas_test,gas detection alarm,absent,failed,present,deliberate_bypass,domain_scenario,"[""EXPOSURE"", ""P_SIF""]",Deliberate defeat of a safety control in H2S service.,[],gold_test,3
